year,type,gpw
2008,supercomputer,0.05681
2008,supercomputer,0.05658
2008,supercomputer,0.0565
2008,supercomputer,0.0564
2008,supercomputer,0.05618
2008,supercomputer,0.05569
2008,supercomputer,0.05569
2008,supercomputer,0.05568
2008,supercomputer,0.05568
2008,supercomputer,0.05568
2008,supercomputer,0.05558
2008,supercomputer,0.05523
2008,supercomputer,0.05508
2008,supercomputer,0.05504
2008,supercomputer,0.05504
2008,supercomputer,0.05504
2008,supercomputer,0.05504
2008,supercomputer,0.05504
2008,supercomputer,0.05504
2008,supercomputer,0.05477
2008,supercomputer,0.0546
2008,supercomputer,0.05443
2008,supercomputer,0.05423
2008,supercomputer,0.05393
2008,supercomputer,0.05393
2008,supercomputer,0.05377
2008,supercomputer,0.05374
2008,supercomputer,0.05351
2008,supercomputer,0.05351
2008,supercomputer,0.05317
2008,supercomputer,0.0529
2008,supercomputer,0.0529
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.05289
2008,supercomputer,0.0528
2008,supercomputer,0.05259
2008,supercomputer,0.0521
2008,supercomputer,0.0521
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
2008,supercomputer,0.05175
